city,county,state,ev_count,bev_count,phev_count,bev_ratio,phev_ratio,required_chargers,high_demand,centroid_lat,centroid_lon
Otis Orchards,Spokane,WA,67,50,17,0.746268656716418,0.2537313432835821,4,1,47.70789074626865,-117.11130626865672
Outlook,Yakima,WA,19,14,5,0.7368421052631579,0.2631578947368421,1,0,46.3294,-120.08512
Owings,Calvert,MD,1,0,1,0.0,1.0,1,0,38.71967,-76.60403
Oysterville,Pacific,WA,7,5,2,0.7142857142857143,0.2857142857142857,1,0,46.51614714285714,-124.04005571428571
Ozark,Christian,MO,1,0,1,0.0,1.0,1,0,37.02134,-93.20633
Pacific,King,WA,119,89,30,0.7478991596638656,0.25210084033613445,6,1,47.265368487394966,-122.24664151260505
Pacific,Pierce,WA,4,4,0,1.0,0.0,1,0,47.26465,-122.24692
Pacific Beach,Grays Harbor,WA,34,28,6,0.8235294117647058,0.17647058823529413,2,0,47.20886,-124.20177
Pacific Grove,Monterey,CA,1,0,1,0.0,1.0,1,0,36.61956,-121.91849
Pacific Palisades,Los Angeles,CA,1,1,0,1.0,0.0,1,0,34.0471,-118.52688
Pacifica,San Mateo,CA,1,1,0,1.0,0.0,1,0,37.63527,-122.492
Packwood,Lewis,WA,36,24,12,0.6666666666666666,0.3333333333333333,2,0,46.60602222222222,-121.68523833333332
Palisades,Douglas,WA,4,4,0,1.0,0.0,1,0,47.41492,-119.9176
Palm Springs,Riverside,CA,1,1,0,1.0,0.0,1,0,33.77238,-116.54548
Palo Alto,Santa Clara,CA,1,1,0,1.0,0.0,1,0,37.44721,-122.12568
Palouse,Whitman,WA,29,20,9,0.6896551724137931,0.3103448275862069,2,0,46.91008,-117.0768
Parker,Douglas,CO,1,0,1,0.0,1.0,1,0,39.51182,-104.79915
Parker,Yakima,WA,2,1,1,0.5,0.5,1,0,46.50345,-120.4672
Parkland,Pierce,WA,152,112,40,0.7368421052631579,0.2631578947368421,8,1,47.09665,-122.37747
Pasadena,Anne Arundel,MD,1,1,0,1.0,0.0,1,0,39.10969,-76.57287
Pasc,Franklin,WA,3,2,1,0.6666666666666666,0.3333333333333333,1,0,46.23542,-119.09467
Pasco,Franklin,WA,959,745,214,0.7768508863399375,0.22314911366006257,48,1,46.23542,-119.09467
Pateros,Okanogan,WA,8,5,3,0.625,0.375,1,0,48.05502,-119.89975
Paterson,Benton,WA,1,1,0,1.0,0.0,1,0,45.93967,-119.60311
Pe Ell,Lewis,WA,4,4,0,1.0,0.0,1,0,46.57001,-123.29831
Pensacola,Escambia,FL,2,1,1,0.5,0.5,1,0,30.44136,-87.28368
Peoria,Maricopa,AZ,1,1,0,1.0,0.0,1,0,33.7534,-112.33016
Peshastin,Chelan,WA,26,20,6,0.7692307692307693,0.23076923076923078,2,0,47.56805,-120.60364000000001
Philadelphia,Philadelphia,PA,1,0,1,0.0,1.0,1,0,39.95222,-75.16218
Phoenix,Maricopa,AZ,3,3,0,1.0,0.0,1,0,33.600069999999995,-112.09209666666668
Pike Road,Montgomery,AL,1,0,1,0.0,1.0,1,0,32.31535,-86.04724
Pittsburgh,Allegheny,PA,2,2,0,1.0,0.0,1,0,40.499855,-80.006755
Plano,Collin,TX,1,0,1,0.0,1.0,1,0,33.08178,-96.82128
Plymouth,Benton,WA,1,0,1,0.0,1.0,1,0,45.93559,-119.35107
Pocatello,Bannock,ID,1,1,0,1.0,0.0,1,0,42.91792,-112.46167
Point Roberts,Whatcom,WA,78,62,16,0.7948717948717948,0.20512820512820512,4,1,48.98867,-123.05687999999999
Pomeroy,Garfield,WA,3,0,3,0.0,1.0,1,0,46.473980000000005,-117.58936999999999
Port Angeles,Clallam,WA,664,462,202,0.6957831325301205,0.3042168674698795,34,1,48.121497108433736,-123.44012256024098
Port Gamble,Kitsap,WA,3,1,2,0.3333333333333333,0.6666666666666666,1,0,47.736889999999995,-122.64681
Port Hadlock,Jefferson,WA,71,52,19,0.7323943661971831,0.2676056338028169,4,1,48.03591,-122.75878000000002
Port Hueneme,Ventura,CA,1,1,0,1.0,0.0,1,0,34.15016,-119.19558
