County,City,EV_Count,Avg_Range,Avg_MSRP,Longitude,Latitude,Charging_Score
Spokane,Spangle,16,133.8125,,-117.3925,47.4329,
Kitsap,Keyport,15,198.8667,,-122.6232,47.7025,
Pierce,Ashford,14,161.4286,,-122.0324,46.7591,
Lewis,Silver Creek,14,165.7857,,-122.6021,46.5279,
Knox,Knoxville,13,215.0,,-84.0865,35.9226,
Pacific,Menlo,13,145.5385,,-123.7299,46.6887,
Pend Oreille,Elk,12,184.5,,-117.2782,48.0172,
Lewis,Ashford,11,196.1818,,-122.0324,46.7591,
Grays Harbor,Copalis Beach,11,179.7273,,-124.167,47.1149,
Lewis,Rochester,11,127.4545,,-123.0874,46.8218,
Fairfax,Springfield,10,156.3,,-77.2165,38.7843,
Klickitat,Bz Corner,10,183.4,,-121.487,45.7278,
Lewis,Curtis,10,157.0,,-123.0974,46.5812,
Pacific,South Bend,10,180.6,,-123.7877,46.6731,
Lewis,Ethel,10,158.3,,-122.7695,46.5454,
Snohomish,Darrington,10,211.4,,-121.6042,48.2543,
Wahkiakum,Skamokawa,9,216.7778,,-123.458,46.2716,
Stevens,Clayton,9,162.3333,,-117.5723,47.9968,
Lewis,Napavine,9,112.0,,-122.927,46.6049,
Stevens,Evans,9,116.7778,,-118.0234,48.7133,
Clallam,Neah Bay,8,169.125,,-124.6274,48.3678,
Virginia Beach,Virginia Beach,8,169.625,,-76.1302,36.8263,
Snohomish,Index,8,173.75,,-121.6852,47.8413,
Cowlitz,Toutle,8,190.75,,-122.7324,46.3245,
Lewis,Cinebar,8,171.5,,-122.4916,46.6041,
Okanogan,Pateros,8,147.25,,-119.8998,48.055,
Lincoln,Odessa,7,137.4286,,-118.69,47.3332,
San Juan,Orcas,7,160.5714,,-122.9409,48.5982,
District Of Columbia,Washington,7,180.4286,,-77.0075,38.8938,
Stevens,Rice,7,165.1429,,-118.1616,48.4293,
Okanogan,Coulee Dam,7,141.1429,,-118.9767,47.9708,
Pacific,Oysterville,7,167.0,,-124.0401,46.5161,
Kittitas,Kittitas,7,171.8571,,-120.4363,46.9865,
Grant,Electric City,7,161.2857,,-119.0359,47.9335,
Grant,Grand Coulee,7,160.5714,,-119.0004,47.9428,
Snohomish,Tulalip,6,173.8333,,-122.1677,48.1103,
Lincoln,Grand Coulee,6,107.6667,,-119.0004,47.9428,
Macomb,Warren,6,215.0,,-83.0491,42.5251,
Douglas,Mansfield,6,184.5,,-119.6615,47.8598,
Douglas,Bridgeport Bar,6,201.0,,-119.7809,48.0997,
Yakima,Cowiche,6,188.0,,-120.7098,46.6546,
Whitman,Endicott,6,130.8333,,-117.6848,46.9275,
Whitman,Colton,6,125.5,,-117.1298,46.568,
Okanogan,Methow,6,186.1667,,-119.9524,48.0918,
Los Angeles,Los Angeles,6,195.0,,-118.3322,34.0676,
Klickitat,Murdock,6,150.1667,,-121.2621,45.681,
Franklin,Eltopia,6,123.0,,-119.0165,46.457,
